"title"	"condition"	"price"	"id"	"link"	"image_link"	"product_type"	"description"	"category"
"Stainless Steel Mens Diamond Watch Bezel 3.00 Ctw"	""	"2499.0000"	"Bezel6"	"http://www.avianneandco.com/store/catalog/product/view/id/4152/s/stainless-steel-mens-diamond-watch-bezel-3-00-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//B/E/BEZEL6-1.jpg"	"Watch Bezel"	"This large diamond watch bezel is crafted in silver tone Stainless Steel. The rim is pave set with brilliant large round cut diamonds which are G in color and VS2 in clarity. The diameter measures to approximately 1 1/2 Inches and the frame measures to 3/16 Inches in width. This exquisite diamond watch bezel is an ideal fit for Rolex watch. "	"Root Catalog>Watches>Root Catalog>Watches>Watch Accessories>Root Catalog>Watches>Watch Accessories>Diamond Watch Bezels"
"Stainless Steel Mens Diamond Watch Bezel 1.60 Ctw"	"used"	"1499.0000"	"Bezel5"	"http://www.avianneandco.com/store/catalog/product/view/id/4153/s/stainless-steel-mens-diamond-watch-bezel-3-00-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//B/E/BEZEL5-2.jpg"	"Watch Bezel"	"This large diamond watch bezel is crafted in silver tone Stainless Steel. The rim is pave set with brilliant large round cut diamonds which are G in color and VS2 in clarity. The diameter measures to approximately 1 1/8 Inches and the frame measures to 1/8 Inches in width. This exquisite diamond watch bezel is an ideal fit for Rolex watch. "	"Root Catalog>Watches>Root Catalog>Watches>Watch Accessories>Root Catalog>Watches>Watch Accessories>Diamond Watch Bezels"
"Stainless Steel Mens Diamond Watch Bezel 3.00 Ctw"	"new"	"2499.0000"	"Bezel3"	"http://www.avianneandco.com/store/catalog/product/view/id/4154/s/stainless-steel-mens-diamond-watch-bezel-3-00-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//B/E/BEZEL3-3.jpg"	"Watch Bezel"	"This large diamond watch bezel is crafted in silver tone Stainless Steel. The rim is pave set with brilliant large round cut diamonds which are G in color and VS2 in clarity. The diameter measures to approximately 1 1/2 Inches and the frame measures to 3/16 Inches in width. This exquisite diamond watch bezel is an ideal fit for Rolex watch. "	"Root Catalog>Watches>Root Catalog>Watches>Watch Accessories>Root Catalog>Watches>Watch Accessories>Diamond Watch Bezels"
"Stainless Steel Mens Diamond Watch Bezel 2.50 Ctw"	"new"	"2169.0000"	"Bezel4"	"http://www.avianneandco.com/store/catalog/product/view/id/4155/s/stainless-steel-mens-diamond-watch-bezel-3-00-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//B/E/BEZEL4-3.jpg"	"Watch Bezel"	"This large diamond watch bezel is crafted in silver tone Stainless Steel. The rim is pave set with brilliant large round cut diamonds which are G in color and VS2 in clarity. The diameter measures to approximately 1 3/8 Inches and the frame measures to 1/8 Inches in width. This exquisite diamond watch bezel is an ideal fit for Rolex watch. "	"Root Catalog>Watches>Root Catalog>Watches>Watch Accessories>Root Catalog>Watches>Watch Accessories>Diamond Watch Bezels"
"Stainless Steel Mens Diamond Watch Bezel 2.29 Ctw"	"new"	"1999.0000"	"Bezel2"	"http://www.avianneandco.com/store/catalog/product/view/id/4156/s/stainless-steel-mens-diamond-watch-bezel-3-00-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//B/E/BEZEL2-3.jpg"	"Watch Bezel"	"This large diamond watch bezel is crafted in silver tone Stainless Steel. The rim is pave set with brilliant large round cut diamonds which are G in color and VS2 in clarity. The diameter measures to approximately 1 3/8 Inches and the frame measures to 1/8 Inches in width. This exquisite diamond watch bezel is an ideal fit for Rolex watch. "	"Root Catalog>Watches>Root Catalog>Watches>Watch Accessories>Root Catalog>Watches>Watch Accessories>Diamond Watch Bezels"
"Stainless Steel Mens Diamond Watch Bezel 1.85 Ctw"	"new"	"1669.0000"	"Bezel1"	"http://www.avianneandco.com/store/catalog/product/view/id/4157/s/stainless-steel-mens-diamond-watch-bezel-3-00-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//B/E/BEZEL1-3.jpg"	"Watch Bezel"	"This large diamond watch bezel is crafted in silver tone Stainless Steel. The rim is pave set with brilliant large round cut diamonds which are G in color and VS2 in clarity. The diameter measures to approximately 1 Inches and the frame measures to 1/8 Inches in width. This exquisite diamond watch bezel is an ideal fit for a Rolex watch. "	"Root Catalog>Watches>Root Catalog>Watches>Watch Accessories>Root Catalog>Watches>Watch Accessories>Diamond Watch Bezels"
"Black Python Watch Band "	"new"	"249.0000"	"BandPythonBlack"	"http://www.avianneandco.com/store/catalog/product/view/id/2471/"	"http://www.avianneandco.com/store/media/catalog/product//b/a/band-9_1.jpg"	"Watch Accessories"	"This exclusive Avianne and Co. Black Python Watch Band measures to approximately 13/16 Inches in width and 8 Inches in length. The fold over stainless steel  clasp features an Avianne and Co. logo. "	"Root Catalog>Watches>Root Catalog>Watches>Watch Accessories>Root Catalog>Watches>Watch Accessories>Watch Bands "
"Red Leather Watch Band "	"new"	"69.0000"	"BandLeatherRed"	"http://www.avianneandco.com/store/catalog/product/view/id/2472/"	"http://www.avianneandco.com/store/media/catalog/product//b/a/band1.jpg"	"Watch Accessories"	"This exclusive Avianne and Co. Red Leather Watch Band measures to approximately 15/16 Inches in width and 8 Inches in length. The fold over stainless steel  clasp features an Avianne and Co. logo. "	"Root Catalog>Watches>Root Catalog>Watches>Watch Accessories>Root Catalog>Watches>Watch Accessories>Watch Bands "
"Yellow Leather Watch Band "	"new"	"69.0000"	"BandLeatherYellow"	"http://www.avianneandco.com/store/catalog/product/view/id/2473/"	"http://www.avianneandco.com/store/media/catalog/product//b/a/band2.jpg"	"Watch Accessories"	"This exclusive Avianne and Co. Yellow Leather Watch Band measures to approximately 15/16 Inches in width and 8 Inches in length. The fold over stainless steel  clasp features an Avianne and Co. logo. "	"Root Catalog>Watches>Root Catalog>Watches>Watch Accessories>Root Catalog>Watches>Watch Accessories>Watch Bands "
"Python Watch Band "	"new"	"249.0000"	"BandPython"	"http://www.avianneandco.com/store/catalog/product/view/id/2474/"	"http://www.avianneandco.com/store/media/catalog/product//b/a/band3c.jpg"	"Watch Accessories"	"This exclusive Avianne and Co. Python Watch Band measures to approximately 13/16 Inches in width and 8 Inches in length. The fold over stainless steel  clasp features an Avianne and Co. logo. "	"Root Catalog>Watches>Root Catalog>Watches>Watch Accessories>Root Catalog>Watches>Watch Accessories>Watch Bands "
"White Leather Watch Band "	"new"	"69.0000"	"BandLeatherWhite"	"http://www.avianneandco.com/store/catalog/product/view/id/2475/"	"http://www.avianneandco.com/store/media/catalog/product//b/a/band-4c.jpg"	"Watch Accessories"	"This exclusive Avianne and Co. White Leather Watch Band measures to approximately 15/16 Inches in width and 8 Inches in length. The fold over stainless steel  clasp features an Avianne and Co. logo. "	"Root Catalog>Watches>Root Catalog>Watches>Watch Accessories>Root Catalog>Watches>Watch Accessories>Watch Bands "
"Python Brownish Olive Watch Band "	"new"	"249.0000"	"BandPythonBrownishOlive"	"http://www.avianneandco.com/store/catalog/product/view/id/2476/"	"http://www.avianneandco.com/store/media/catalog/product//b/a/band-5.jpg"	"Watch Accessories"	"This exclusive Avianne and Co. Python Brownish Olive Watch Band measures to approximately 13/16 Inches in width and 8 Inches in length. The fold over stainless steel  clasp features an Avianne and Co. logo. "	"Root Catalog>Watches>Root Catalog>Watches>Watch Accessories>Root Catalog>Watches>Watch Accessories>Watch Bands "
"Python Midnight Blue Watch Band "	"new"	"249.0000"	"BandPythonMidBlue"	"http://www.avianneandco.com/store/catalog/product/view/id/2477/"	"http://www.avianneandco.com/store/media/catalog/product//b/a/band-6.jpg"	"Watch Accessories"	"This exclusive Avianne and Co. Python Midnight Blue Watch Band measures to approximately 13/16 Inches in width and 8 Inches in length. The fold over stainless steel  clasp features an Avianne and Co. logo. "	"Root Catalog>Watches>Root Catalog>Watches>Watch Accessories>Root Catalog>Watches>Watch Accessories>Watch Bands "
"Dark Cadet Blue Leather Watch Band "	"new"	"69.0000"	"BandLeatherCadBlue"	"http://www.avianneandco.com/store/catalog/product/view/id/2478/"	"http://www.avianneandco.com/store/media/catalog/product//b/a/band-7.jpg"	"Watch Accessories"	"This exclusive Avianne and Co. Dark Cadet Blue Leather Watch Band measures to approximately 15/16 Inches in width and 8 Inches in length. The fold over stainless steel  clasp features an Avianne and Co. logo. "	"Root Catalog>Watches>Root Catalog>Watches>Watch Accessories>Root Catalog>Watches>Watch Accessories>Watch Bands "
"Dark Steel Blue Leather Watch Band "	"new"	"69.0000"	"BandLeatherSteelBlue"	"http://www.avianneandco.com/store/catalog/product/view/id/2479/"	"http://www.avianneandco.com/store/media/catalog/product//b/a/band-8.jpg"	"Watch Accessories"	"This exclusive Avianne and Co. Dark Steel Blue Leather Watch Band measures to approximately 15/16 Inches in width and 8 Inches in length. The fold over stainless steel  clasp features an Avianne and Co. logo. "	"Root Catalog>Watches>Root Catalog>Watches>Watch Accessories>Root Catalog>Watches>Watch Accessories>Watch Bands "
"Brown Leather Watch Band "	"new"	"69.0000"	"BandLeatherBrown"	"http://www.avianneandco.com/store/catalog/product/view/id/2480/"	"http://www.avianneandco.com/store/media/catalog/product//b/a/band-10.jpg"	"Watch Accessories"	"This exclusive Avianne and Co. Brown Leather Watch Band measures to approximately 15/16 Inches in width and 8 Inches in length. The fold over stainless steel  clasp features an Avianne and Co. logo. "	"Root Catalog>Watches>Root Catalog>Watches>Watch Accessories>Root Catalog>Watches>Watch Accessories>Watch Bands "
"Shiny Black Leather Watch Band "	"new"	"69.0000"	"BandLeatherBlackShiny"	"http://www.avianneandco.com/store/catalog/product/view/id/2481/"	"http://www.avianneandco.com/store/media/catalog/product//b/a/band-11.jpg"	"Watch Accessories"	"This exclusive Avianne and Co. Shiny Black Leather Watch Band measures to approximately 15/16 Inches in width and 8 Inches in length. The fold over stainless steel  clasp features an Avianne and Co. logo. "	"Root Catalog>Watches>Root Catalog>Watches>Watch Accessories>Root Catalog>Watches>Watch Accessories>Watch Bands "
"Black Leather Watch Band "	"new"	"69.0000"	"BandLeatherBlack"	"http://www.avianneandco.com/store/catalog/product/view/id/2482/"	"http://www.avianneandco.com/store/media/catalog/product//b/a/band-12.jpg"	"Watch Accessories"	"This exclusive Avianne and Co. Black Leather Watch Band measures to approximately 15/16 Inches in width and 8 Inches in length. The fold over stainless steel  clasp features an Avianne and Co. logo. "	"Root Catalog>Watches>Root Catalog>Watches>Watch Accessories>Root Catalog>Watches>Watch Accessories>Watch Bands "
"Black Leather Watch Band "	"new"	"69.0000"	"LeatherStrap"	"http://www.avianneandco.com/store/catalog/product/view/id/2567/"	"http://www.avianneandco.com/store/media/catalog/product//b/a/band-12_1.jpg"	"Watch Accessories"	"This exclusive Avianne and Co. Black Leather Watch Band measures to approximately 15/16 Inches in width and 8 Inches in length. The fold over stainless steel  clasp features an Avianne and Co. logo. "	"Root Catalog>Watches>Root Catalog>Watches>Watch Accessories>Root Catalog>Watches>Watch Accessories>Watch Bands "
"Yellow Leather Watch Band "	"new"	"69.0000"	"BandLeatherYellow2"	"http://www.avianneandco.com/store/catalog/product/view/id/2568/"	"http://www.avianneandco.com/store/media/catalog/product//b/a/band13-1.jpg"	"Watch Accessories"	"This exclusive Avianne and Co. Yellow Leather Watch Band measures to approximately 15/16 Inches in width and 8 Inches in length. The fold over stainless steel  clasp features an Ice Trend. logo. "	"Root Catalog>Watches>Root Catalog>Watches>Watch Accessories>Root Catalog>Watches>Watch Accessories>Watch Bands "
"Blue Leather Watch Band "	"new"	"69.0000"	"BandLeatherBlue"	"http://www.avianneandco.com/store/catalog/product/view/id/2569/"	"http://www.avianneandco.com/store/media/catalog/product//b/a/band14-1.jpg"	"Watch Accessories"	"This exclusive Avianne and Co. Blue Leather Watch Band measures to approximately 15/16 Inches in width and 8 Inches in length. The band features yellow fold over stainless steel clasp. "	"Root Catalog>Watches>Root Catalog>Watches>Watch Accessories>Root Catalog>Watches>Watch Accessories>Watch Bands "
"Black Leather Watch Band "	"new"	"69.0000"	"BandLeatherBlack2"	"http://www.avianneandco.com/store/catalog/product/view/id/2570/"	"http://www.avianneandco.com/store/media/catalog/product//b/a/band15-1.jpg"	"Watch Accessories"	"This exclusive Avianne and Co. Black Leather Watch Band measures to approximately 15/16 Inches in width and 8 Inches in length. The fold over stainless steel  clasp features an Avianne and Co. logo. "	"Root Catalog>Watches>Root Catalog>Watches>Watch Accessories>Root Catalog>Watches>Watch Accessories>Watch Bands "
"Shiny  Brown Leather Watch Band "	""	"69.0000"	"BandLeatherBrown2"	"http://www.avianneandco.com/store/catalog/product/view/id/2571/"	"http://www.avianneandco.com/store/media/catalog/product//b/a/band16-1_1.jpg"	"Watch Accessories"	"Shiny  Brown Leather Watch Band "	"Root Catalog>Watches>Root Catalog>Watches>Watch Accessories"
"Burgundy Leather Watch Band "	""	"69.0000"	"BandLeatherBurgundy"	"http://www.avianneandco.com/store/catalog/product/view/id/2572/"	"http://www.avianneandco.com/store/media/catalog/product//b/a/band-17-1.jpg"	"Watch Accessories"	"This exclusive Avianne and Co. Burgundy Leather Watch Band measures to approximately 15/16 Inches in width and 8 Inches in length. The fold over stainless steel  clasp features an Avianne and Co. logo. "	"Root Catalog>Watches>Root Catalog>Watches>Watch Accessories>Root Catalog>Watches>Watch Accessories>Watch Bands "
"Red Leather Watch Band "	"new"	"69.0000"	"BandLeatherRed2"	"http://www.avianneandco.com/store/catalog/product/view/id/2574/"	"http://www.avianneandco.com/store/media/catalog/product//b/a/band18-1.jpg"	"Watch Accessories"	"This exclusive Avianne and Co. Red Leather Watch Band measures to approximately 15/16 Inches in width and 8 Inches in length. The fold over stainless steel  clasp features an Avianne and Co. logo. "	"Root Catalog>Watches>Root Catalog>Watches>Watch Accessories>Root Catalog>Watches>Watch Accessories>Watch Bands "
"Dark Brown Leather Watch Band "	"new"	"69.0000"	"BandLeatherBrown3"	"http://www.avianneandco.com/store/catalog/product/view/id/2575/"	"http://www.avianneandco.com/store/media/catalog/product//b/a/band19-1.jpg"	"Watch Accessories"	"This exclusive Avianne and Co. Dark Brown Leather Watch Band measures to approximately 15/16 Inches in width and 8 Inches in length. The fold over stainless steel  clasp features an Avianne and Co. logo. "	"Root Catalog>Watches>Root Catalog>Watches>Watch Accessories>Root Catalog>Watches>Watch Accessories>Watch Bands "
"Avianne and Co. King Collection Fully Iced Out Band 17.50 Ctw"	"new"	"8000.0000"	"IcedOutBand "	"http://www.avianneandco.com/store/catalog/product/view/id/3544/"	"http://www.avianneandco.com/store/media/catalog/product//d/i/diband1-1.jpg"	"Watch Accessories"	"This exquisite mens diamond iced out band is a perfect addition to your Avianne and Co. King Collection Watch. The band is fully iced out with small brilliant round cut diamonds which are carefully held by pave setting and total to 17.5 carats. The band securely locks with a durable invisible double locking clasp with a carved out 'Stainless Steel' logo on it. For additional information please dial our toll free phone number to speak to our sales representative. "	"Root Catalog>Watches>Root Catalog>Watches>Watch Accessories>Root Catalog>Watches>Watch Accessories>Watch Bands "
"Avianne and Co. King Collection Semi Iced Out Band 3.60 Ctw"	"new"	"3000.0000"	"SemiIcedOut"	"http://www.avianneandco.com/store/catalog/product/view/id/3545/"	"http://www.avianneandco.com/store/media/catalog/product//d/i/diband2-1.jpg"	"Watch Accessories"	"This exquisite mens diamond iced out band is a perfect addition to your Avianne and Co. King Collection Watch. The band is semi iced out with small brilliant round cut diamonds which are carefully held by pave setting and total to 3.60 carats. The band securely locks with a durable invisible double locking clasp with a carved out 'Stainless Steel' logo on it. For additional information please dial our toll free phone number to speak to our sales representative. "	"Root Catalog>Watches>Root Catalog>Watches>Watch Accessories>Root Catalog>Watches>Watch Accessories>Watch Bands "
"Stainless Steel Mens Two Tone Cufflinks"	""	"79.0000"	"CL231J"	"http://www.avianneandco.com/store/catalog/product/view/id/3971/s/stainless-steel-mens-two-tone-cufflinks/"	"http://www.avianneandco.com/store/media/catalog/product//c/l/cl231j-1.jpg"	"Stainless Steel Pendant"	"These rectangle shape mens two tone cufflinks are crafted in silver tone stainless steel. The frame measures to 3/4 Inches in length and 5/8 Inches in width. These elegant stainless steel mens cufflinks are ideal for a special night out."	"Root Catalog>Mens>Root Catalog>Custom>Root Catalog>Mens>Mens Stainless Steel Jewelry>Stainless Steel Cufflinks>Root Catalog>Mens>Mens Stainless Steel Jewelry"
"Stainless Steel Mens Cufflinks "	""	"89.0000"	"CL146-J"	"http://www.avianneandco.com/store/catalog/product/view/id/3972/s/stainless-steel-mens-cufflinks/"	"http://www.avianneandco.com/store/media/catalog/product//C/L/CL146-J-2.jpg"	"Stainless Steel Pendant"	"These uniquely designed rectangle shape mens cufflinks are crafted in silver tone stainless steel. The frame measures to 3/4 Inches in length and 1/2 Inches in width. These elegant mens cufflinks are ideal for an every day casual or special wear."	"Root Catalog>Mens>Root Catalog>Custom>Root Catalog>Mens>Mens Stainless Steel Jewelry>Stainless Steel Cufflinks>Root Catalog>Mens>Mens Stainless Steel Jewelry"
"Stainless Steel Mens Cufflinks "	""	"84.0000"	"CL129"	"http://www.avianneandco.com/store/catalog/product/view/id/3973/s/stainless-steel-mens-cufflinks/"	"http://www.avianneandco.com/store/media/catalog/product//C/L/CL129-1.jpg"	"Stainless Steel Pendant"	"These elegant mens cufflinks are crafted in silver tone stainless steel. The center is set with black gleaming stone which measures to 3/4 Inches in length and 1/2 Inches in width. These lovely mens cufflinks are ideal for an every day casual or special wear."	"Root Catalog>Mens>Root Catalog>Custom>Root Catalog>Mens>Mens Stainless Steel Jewelry>Stainless Steel Cufflinks>Root Catalog>Mens>Mens Stainless Steel Jewelry"
"Stainless Steel Mens Two Tone Cross Pendant"	""	"69.0000"	"D574-4W"	"http://www.avianneandco.com/store/catalog/product/view/id/3974/s/stainless-steel-mens-two-tone-cross-pendant/"	"http://www.avianneandco.com/store/media/catalog/product//D/5/D574-4W-1.jpg"	"Stainless Steel Pendant"	"This uniquely designed mens cross pendant is crafted in two tone stainless steel. Four corners of the cross are bezel set with small round cut white cubic zirconia stones. The frame measures to 2 Inches in length and 1 Inches in width. This one of a kind mens cross pendant is an ideal accessory at an affordable value."	"Root Catalog>Mens>Root Catalog>Custom>Root Catalog>Mens>Mens Stainless Steel Jewelry>Stainless Steel Pendants>Root Catalog>Mens>Mens Stainless Steel Jewelry"
"Stainless Steel Star of David Pendant "	""	"69.0000"	"D252"	"http://www.avianneandco.com/store/catalog/product/view/id/3975/s/stainless-steel-star-of-david-pendant/"	"http://www.avianneandco.com/store/media/catalog/product//D/2/D252-1.jpg"	"Stainless Steel Pendant"	"This uniquely designed Star of David pendant is crafted in silver tone stainless steel. The center features a carved out Star which is outlined with black stainless steel. The frame measures to 1 1/4 Inches in length and 3/4 Inches in width. Exclusively designed by Avianne&Co. this Star of David pendant is an ideal accessory for an every day wear."	"Root Catalog>Mens>Root Catalog>Womens>Root Catalog>Custom>Root Catalog>Mens>Mens Stainless Steel Jewelry>Stainless Steel Pendants>Root Catalog>Mens>Mens Stainless Steel Jewelry>Root Catalog>Womens>Womens Stainless Steel Jewelry>Root Catalog>Womens>Womens Stainless Steel Jewelry>Stainless Steel Pendants"
"Stainless Steel Womens Butterfly Pendant"	""	"69.0000"	"D043"	"http://www.avianneandco.com/store/catalog/product/view/id/3976/s/stainless-steel-womens-butterfly-pendant/"	"http://www.avianneandco.com/store/media/catalog/product//D/0/D043-1.jpg"	"Stainless Steel Pendant"	"This uniquely designed womens butterfly pendant is crafted in silver tone stainless steel. The frame measures to 7/8 Inches in length and 1 1/8 Inches width. This lovely womens butterfly pendant is an ideal accessory for an every day casual wear."	"Root Catalog>Womens>Root Catalog>Custom>Root Catalog>Womens>Womens Stainless Steel Jewelry>Root Catalog>Womens>Womens Stainless Steel Jewelry>Stainless Steel Pendants"
"Stainless Steel Mens Sword Pendant "	""	"69.0000"	"D556Z2"	"http://www.avianneandco.com/store/catalog/product/view/id/3979/s/stainless-steel-mens-sword-pendant/"	"http://www.avianneandco.com/store/media/catalog/product//D/5/D556Z2-2.jpg"	"Stainless Steel Pendant"	"Exclusively designed by Avianne and Company, this one of a kind mens sword pendant is crafted in silver tone stainless steel. The back and the front of the sword are bezel set with two small cubic zirconia round cut white stones. The frame measures to 1 3/4 Inches in length and 3/4 Inches in width. The back of this mens sword pendant features carved out Avianne&Co. logo."	"Root Catalog>Mens>Root Catalog>Custom>Root Catalog>Mens>Mens Stainless Steel Jewelry>Stainless Steel Pendants>Root Catalog>Mens>Mens Stainless Steel Jewelry"
"Stainless Steel Dog Tag Pendant"	""	"119.0000"	"D534J"	"http://www.avianneandco.com/store/catalog/product/view/id/3981/s/stainless-steel-dog-tag-pendant/"	"http://www.avianneandco.com/store/media/catalog/product//D/5/D534J-1.jpg"	"Stainless Steel Pendant"	"This uniquely designed dog tag pendant is crafted in two tone stainless steel. The center is pave set with small cubic zirconia round cut white stones. The frame measures to 1 3/4 Inches in length and 3/4 Inches in width. The back of this exclusively designed dog tag pendant features carved out Avianne&Co. logo. "	"Root Catalog>Mens>Root Catalog>Mens>Mens Stainless Steel Jewelry>Stainless Steel Pendants>Root Catalog>Mens>Mens Stainless Steel Jewelry>Root Catalog>Womens>Womens Stainless Steel Jewelry>Root Catalog>Womens>Womens Stainless Steel Jewelry>Stainless Steel Pendants"
"Stainless Steel Womens Fairy Pendant "	""	"69.0000"	"D6262TR"	"http://www.avianneandco.com/store/catalog/product/view/id/3983/s/stainless-steel-womens-fairy-pendant/"	"http://www.avianneandco.com/store/media/catalog/product//D/6/D6262TR-1.jpg"	"Stainless Steel Pendant"	"This uniquely designed womens two tone fairy pendant is crafted in highly polished stainless steel. The wings are crafted in rose tone and feature five small cubic zirconia round cut white stones. The frame measures to 1 3/4 Inches in length and 5/8 Inches in width. This lovely womens fairy pendant features carved out Avianne&Co. logo on the back."	"Root Catalog>Womens>Root Catalog>Custom>Root Catalog>Womens>Womens Stainless Steel Jewelry>Root Catalog>Womens>Womens Stainless Steel Jewelry>Stainless Steel Pendants"
"Stainless Steel Mens Gothic Cross Dog Tag Pendant "	""	"69.0000"	"D548-2TJ"	"http://www.avianneandco.com/store/catalog/product/view/id/3984/s/stainless-steel-mens-gothic-cross-dog-tag-pendant/"	"http://www.avianneandco.com/store/media/catalog/product//D/5/D548-2TJ-1.jpg"	"Stainless Steel Pendant"	"Exclusively designed by Avianne and Company, this two tone mens Gothic cross dog tag pendant is crafted in highly polished stainless steel. Both sides of the pendant feature carved out black gothic cross which is crafted in black tone stainless steel. The rectangle frame measures to 1 1/2 Inches in length and 1 Inches in width. This one of a kind Mens Gothic Cross Dog Tag Pendant displays an Avianne&Co. logo on the back. "	"Root Catalog>Mens>Root Catalog>Custom>Root Catalog>Mens>Mens Stainless Steel Jewelry>Stainless Steel Pendants>Root Catalog>Mens>Mens Stainless Steel Jewelry"
"Stainless Steel Mens Cufflinks "	""	"94.0000"	"SCL11J"	"http://www.avianneandco.com/store/catalog/product/view/id/3988/s/stainless-steel-mens-cufflinks/"	"http://www.avianneandco.com/store/media/catalog/product//S/C/SCL11J-1.jpg"	"Stainless Steel Pendant"	"These uniquely designed mens cufflinks are crafted in silver tone stainless steel. The frame measures to 13/16 Inches in length and 1/2 Inches in width. The back of the cufflinks feature carved out Avianne&Co. logo."	"Root Catalog>Mens>Root Catalog>Custom>Root Catalog>Mens>Mens Stainless Steel Jewelry>Stainless Steel Cufflinks>Root Catalog>Mens>Mens Stainless Steel Jewelry"
"Stainless Steel Mens Cufflinks "	""	"89.0000"	"CL033"	"http://www.avianneandco.com/store/catalog/product/view/id/3989/s/stainless-steel-mens-cufflinks/"	"http://www.avianneandco.com/store/media/catalog/product//C/L/CL033-1.jpg"	"Stainless Steel Pendant"	"These uniquely designed mens cufflinks are crafted in silver tone stainless steel. The frame measures to 3/4Inches in length and 1/2 Inches in width. The sides of each cufflink is pave set with small white round cut cubic zirconia stones. The back of the cufflinks feature carved out Avianne&Co. logo."	"Root Catalog>Mens>Root Catalog>Custom>Root Catalog>Mens>Mens Stainless Steel Jewelry>Stainless Steel Cufflinks>Root Catalog>Mens>Mens Stainless Steel Jewelry"
"Stainless Steel Mens Cufflinks "	""	"89.0000"	"CL230J-Z3"	"http://www.avianneandco.com/store/catalog/product/view/id/3990/s/stainless-steel-mens-cufflinks/"	"http://www.avianneandco.com/store/media/catalog/product//C/L/CL230J-Z3-1.jpg"	"Stainless Steel Pendant"	"These uniquely designed mens cufflinks are crafted in silver tone stainless steel. The frame measures to 3/4 Inches in length and 1/2 Inches in width. The center of each cufflink is pave set with three small white cubic zirconia stones. The back of the cufflinks feature carved out Avianne&Co. logo."	"Root Catalog>Mens>Root Catalog>Custom>Root Catalog>Mens>Mens Stainless Steel Jewelry>Stainless Steel Cufflinks>Root Catalog>Mens>Mens Stainless Steel Jewelry"
"Stainless Steel Mens Cufflinks "	""	"69.0000"	"CL223J"	"http://www.avianneandco.com/store/catalog/product/view/id/3999/s/stainless-steel-mens-cufflinks/"	"http://www.avianneandco.com/store/media/catalog/product//C/L/CL223J-1.jpg"	"Stainless Steel Pendant"	"These exquisite mens cufflinks are crafted in silver tone stainless steel. The rectangle center piece of each cufflink is pave set with four small white cubic zirconia stones. The frame measures to 3/4 Inches in length and 1/2 Inches in width. "	"Root Catalog>Mens>Root Catalog>Custom>Root Catalog>Mens>Mens Stainless Steel Jewelry>Stainless Steel Cufflinks>Root Catalog>Mens>Mens Stainless Steel Jewelry"
"Stainless Steel Mens Two Tone Cross Pendant"	""	"69.0000"	"D5802T"	"http://www.avianneandco.com/store/catalog/product/view/id/4001/s/stainless-steel-mens-two-tone-cross-pendant/"	"http://www.avianneandco.com/store/media/catalog/product//D/5/D5802T-1.jpg"	"Stainless Steel Pendant"	"This uniquely designed mens cross pendant is crafted in two tone highly polished stainless steel. The center features carved out Crucified Jesus who's crafted in yellow tone stainless steel. The frame measures to 2 1/2 Inches in length and 1 1/4 Inches in width. This one of a kind mens cross pendant is an ideal accessory at an affordable value."	"Root Catalog>Mens>Root Catalog>Custom>Root Catalog>Mens>Mens Stainless Steel Jewelry>Stainless Steel Pendants>Root Catalog>Mens>Mens Stainless Steel Jewelry"
"Stainless Steel Mens Cufflinks "	""	"94.0000"	"CL185J"	"http://www.avianneandco.com/store/catalog/product/view/id/4004/s/stainless-steel-mens-cufflinks/"	"http://www.avianneandco.com/store/media/catalog/product//C/L/CL185J-1.jpg"	"Stainless Steel Pendant"	"These uniquely designed mens cufflinks are crafted in silver tone stainless steel. The rectangle shape center piece features four emerald cut cubic zirconia stones which are held by bezel setting. The frame measures to 3/4 Inches in length and 1/2 Inches in width. "	"Root Catalog>Mens>Root Catalog>Custom>Root Catalog>Mens>Mens Stainless Steel Jewelry>Stainless Steel Cufflinks>Root Catalog>Mens>Mens Stainless Steel Jewelry"
"Stainless Steel Mens Two Tone Cross Pendant"	""	"69.0000"	"D611J-4W"	"http://www.avianneandco.com/store/catalog/product/view/id/4005/s/stainless-steel-mens-two-tone-cross-pendant/"	"http://www.avianneandco.com/store/media/catalog/product//D/6/D611J-4W-1.jpg"	"Stainless Steel Pendant"	"This elegant mens cross pendant is crafted in two tone highly polished stainless steel. The center is crafted in black tone stainless steel and features four round cut cubic zirconia stones on four corners. The frame measures to 2 1/8 Inches in length and 1 1/8 Inches in width. "	"Root Catalog>Mens>Root Catalog>Custom>Root Catalog>Mens>Mens Stainless Steel Jewelry>Stainless Steel Pendants>Root Catalog>Mens>Mens Stainless Steel Jewelry"
